filename	author	title	place	publising_h	year	edition	domain	domain_2	comments
Kramer_Istoria_1965.txt	Крамер С. Н. 	История начинается в Шумере	М.	Наука	1965	Нет	дрв	междуречье	Нет
Losev_Shestakov_Istoria_1965.txt	Лосев А.Ф., Шестаков В.П. 	История эстетических категорий	М.	Искусство	1965	Нет	теория	Нет	Нет
Matye_Drevneegipetskie_1956.txt	Матье Э.М.	Древнеегипетские мифы	М., Л.	Академия наук СССР	1956	Нет	дрв	египет	Нет
Nikolaev_Vozniknovenie_marxistskogo_1970.txt	Николаев П. А.	Возникновение марксистского литературоведения в России	М.	Издательство Московского университета	1970	Нет	теория	Нет	Нет
Propp_Folklor_1976.txt	Пропп В.Я.	Фольклор и действительность: Избранные статьи	М.	Наука	1976	Нет	фольклор	Нет	Избранные сочинения
Tynyanov_Poetika_1977.txt	Тынянов Ю.Н.	Поэтика; История литературы; Кино	М.	Наука	1977	Нет	теория	Нет	Нет
Tsirkin_Finikiyskaya_1976.txt	Циркин Ю.Б.	Финикийская культура в Испании	М.	Наука	1976	Нет	Нет	Нет	Нет
Shifman_Finikijskie_1965.txt	Шифман И.Ш.	Финикийские мореходы	М.	Наука	1965	Нет	Нет	Нет	Нет
Sovremennoe_literaturovedenie_SShA_1969.txt	Нет	Современное литературоведение США: споры об американской литературе	М.	Наука	1969	Нет	заруб_20	проверить	Нет
Teoria_literatury_1964.txt	Нет	Теория литературы. Основные проблемы в историческом освещении. Роды и жанры литературы	М.	Наука	1964	Нет	теория	Нет	Нет
